Time of Rating,15-Apr-2016 09:54:47
Multimedia File,module1 (1).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,32.1543
2,32.1543
3,31.8787
4,31.8328
5,31.8328
6,31.8328
7,31.8328
8,31.8328
9,31.8328
10,31.8328
11,31.8328
12,31.8328
13,31.8328
14,32.4251
15,32.4759
16,32.4759
17,32.508
18,33.119
19,33.119
20,33.119
21,33.119
22,33.119
23,33.119
24,33.119
25,33.119
26,33.119
27,33.119
28,33.119
29,33.119
30,33.119
31,33.119
32,33.119
33,33.119
34,33.119
35,33.119
36,33.119
37,33.119
38,33.119
39,33.119
40,33.119
41,34.4051
42,35.2852
43,35.6913
44,33.4887
45,31.2743
46,31.3275
47,32.8313
48,33.7621
49,33.762
50,33.7621
51,33.7621
52,33.8297
53,34.0836
54,34.0836
55,34.0836
56,34.0836
57,34.0836
58,34.0836
59,34.0836
60,34.0836
61,35.2682
62,35.6913
63,35.6913
64,35.6913
65,35.6913
66,35.5221
67,33.0577
68,31.8328
69,31.4041
70,30.4112
71,31.9936
72,32.4759
73,32.4759
74,32.874
75,33.119
76,33.119
77,33.0682
78,31.7203
79,31.5113
80,31.5113
81,31.5113
82,31.7651
83,32.1543
84,32.1543
85,32.1543
86,32.1543
87,32.1543
88,32.1543
89,32.1543
90,32.6749
91,33.119
92,32.7805
93,32.1543
94,32.9328
95,33.6396
96,33.7621
97,33.7621
98,33.8585
99,34.8113
100,35.0482
101,35.0482
102,35.0482
103,35.0482
104,35.0482
105,35.0482
106,35.0482
107,35.2932
108,35.3698
109,35.3698
110,35.3698
111,35.4713
112,36.0128
113,36.0128
114,36.0128
115,36.0128
116,36.0128
117,36.4021
118,36.6399
119,36.3344
120,36.3344
121,33.6334
122,27.2026
123,20.6592
124,16.3344
125,12.7094
126,9.0798
127,8.2755
128,8.5592
129,4.7893
130,9.6769
131,15.4019
132,17.1543
133,13.1511
134,12.2186
135,12.2186
136,12.2186
137,11.8512
138,7.283
139,4.5862
140,2.8786
141,2.2508
142,2.2508
143,3.746
144,5.2124
145,6.1093
146,8.5124
147,11.4684
148,12.4048
149,13.1833
150,13.1833
