Time of Rating,26-Apr-2016 12:21:15
Multimedia File,mid_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-0.77171
3,-2.1323
4,-4.7313
5,-10.1879
6,-17.9758
7,-23.6419
8,-30.072
9,-35.1159
10,-40.1929
11,-45.6132
12,-44.6438
13,-41.081
14,-39.5177
15,-36.045
16,-36.0129
17,-36.0129
18,-36.0129
19,-36.2836
20,-38.0034
21,-41.5806
22,-43.8264
23,-48.4306
24,-52.8516
25,-56.0404
26,-63.3441
27,-67.2791
28,-72.5563
29,-74.9679
30,-78.2476
31,-80.3351
32,-81.9783
33,-82.7044
34,-85.3774
35,-85.7505
36,-86.1736
37,-85.3315
38,-82.7382
39,-79.5437
40,-76.0027
41,-72.4391
42,-71.1093
43,-69.9272
44,-64.9211
45,-58.0809
46,-52.8403
47,-50.0931
48,-46.1032
49,-42.8939
50,-41.1237
51,-40.5145
52,-40.5145
53,-40.5145
54,-40.5145
55,-40.5145
56,-41.8683
57,-45.9968
58,-53.56
59,-58.3347
60,-63.589
61,-68.328
62,-70.2251
63,-71.0611
64,-71.0611
65,-71.0611
66,-71.0611
67,-71.0611
68,-71.0611
69,-71.0611
70,-71.0611
71,-71.0611
72,-71.0611
73,-71.0611
74,-71.0611
75,-71.0611
76,-71.0611
77,-71.0611
78,-71.0611
79,-71.0611
80,-71.0611
81,-71.0611
82,-71.0611
83,-71.0611
84,-71.0611
85,-71.0611
86,-71.0611
87,-71.0611
88,-71.0611
89,-71.0611
90,-73.3119
91,-75.2412
92,-75.2412
93,-75.2412
94,-76.3666
95,-78.0891
96,-78.7782
97,-79.0844
98,-80.9951
99,-82.1314
100,-82.3151
101,-82.3151
102,-82.3151
103,-82.3151
104,-82.3151
105,-82.3151
106,-82.3151
107,-82.3151
108,-82.3151
109,-82.3151
110,-82.3151
111,-82.3151
112,-82.3151
113,-82.3151
114,-82.3151
115,-82.3151
116,-82.3151
117,-82.3151
118,-82.3151
119,-82.2644
120,-81.672
121,-81.672
122,-81.2997
123,-81.0289
124,-81.0289
125,-80.5084
126,-79.0997
127,-79.0997
128,-79.0997
129,-79.0997
130,-78.181
131,-77.3058
132,-76.5886
133,-75.5627
134,-75.5627
135,-75.5627
136,-75.5627
137,-75.5627
138,-75.5289
139,-74.5981
140,-74.0227
141,-70.9386
142,-70.3216
143,-67.0164
144,-66.5595
145,-66.5595
146,-66.5595
147,-66.5595
148,-66.5595
149,-66.5595
150,-66.5595
151,-66.5595
152,-66.5595
153,-66.5595
154,-66.5595
155,-66.5595
156,-66.5595
157,-66.5595
158,-66.5595
159,-66.5595
160,-66.5595
161,-66.5595
162,-66.5595
163,-66.5595
164,-66.5595
165,-66.5595
166,-66.5595
167,-62.5563
168,-57.4378
169,-52.7653
170,-47.7722
171,-43.8145
172,-43.4084
173,-43.4084
174,-43.4084
175,-43.4084
176,-43.713
177,-45.6132
178,-46.6238
179,-46.8994
180,-46.9453
181,-47.8457
182,-50.7579
183,-52.2254
184,-54.1112
185,-55.0855
186,-61.6139
187,-62.701
188,-62.701
189,-62.701
190,-62.701
191,-62.5479
192,-58.2671
193,-54.9227
194,-53.6495
195,-51.7346
196,-50.8039
197,-50.8039
198,-50.8039
199,-50.8039
200,-50.8039
201,-50.8039
202,-50.8039
203,-50.8039
204,-50.8039
205,-50.8039
206,-50.8039
207,-50.8039
208,-50.8039
209,-49.1623
210,-46.1338
211,-45.9807
212,-45.9646
213,-44.9839
214,-44.6945
215,-44.6945
216,-44.6945
217,-44.6945
218,-43.7976
219,-43.7299
220,-43.7299
221,-43.7299
222,-43.7299
223,-43.7299
224,-43.9871
225,-45.0161
226,-46.1093
227,-47.8423
228,-48.8746
229,-49.9005
230,-51.4808
231,-52.0901
232,-53.0885
233,-54.5659
234,-57.8135
235,-59.2283
236,-59.7611
237,-60.6752
238,-60.9325
239,-61.1093
240,-61.4148
