Time of Rating,13-May-2016 16:18:02
Multimedia File,start_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-0.18386
2,-0.7722
3,-2.2556
4,-6.1776
5,-10.0793
6,-12.0059
7,-12.3552
8,-12.3552
9,-12.3552
10,-12.3552
11,-12.3552
12,-12.3552
13,-12.3552
14,-12.3938
15,-16.1776
16,-16.2162
17,-16.2162
18,-16.2162
19,-16.1756
20,-15.0763
21,-13.8996
22,-13.8996
23,-13.8996
24,-13.8996
25,-13.8996
26,-13.8996
27,-13.0907
28,-11.1969
29,-12.1346
30,-12.3745
31,-11.6033
32,-11.9691
33,-12.5584
34,-12.7413
35,-12.7413
36,-12.5942
37,-12.3552
38,-12.4162
39,-13.0355
40,-14.6921
41,-15.683
42,-14.4981
43,-13.8996
44,-13.6294
45,-11.6846
46,-11.1969
47,-11.1969
48,-13.0355
49,-15.0579
50,-15.0579
51,-15.0579
52,-15.0579
53,-15.0579
54,-15.0579
55,-15.0579
56,-15.0579
57,-15.0579
58,-15.0579
59,-15.0579
60,-13.2194
61,-13.6294
62,-14.6718
63,-14.6718
64,-14.6718
65,-14.6718
66,-14.6718
67,-14.6718
68,-13.5542
69,-13.4363
70,-16.731
71,-17.7606
72,-17.7606
73,-17.7606
74,-17.4904
75,-16.013
76,-17.3745
77,-16.6575
78,-16.2162
79,-16.2162
80,-15.8098
81,-15.2602
82,-18.2626
83,-17.2526
84,-14.9844
85,-15.5253
86,-18.2754
87,-15.1799
88,-15.7382
89,-16.2162
90,-16.2162
91,-16.2162
92,-16.2162
93,-16.2162
94,-16.2162
95,-14.8373
96,-12.9537
97,-18.3703
98,-18.5328
99,-18.858
100,-18.9189
101,-18.9189
102,-18.9189
103,-18.9189
104,-18.9189
105,-18.9189
106,-18.9189
107,-18.9189
108,-18.4556
109,-11.583
110,-17.3561
111,-21.6216
112,-21.6216
113,-21.6216
114,-21.6216
115,-21.6216
116,-21.6216
117,-21.6216
118,-21.6216
119,-21.6216
120,-21.6216
121,-21.6216
122,-21.6216
123,-21.6216
124,-21.6216
125,-21.6216
126,-21.5665
127,-21.2355
128,-21.2355
129,-21.2539
130,-21.9061
131,-22.3938
132,-22.3938
133,-22.3938
134,-22.3938
135,-22.3938
136,-22.3938
137,-22.1297
138,-21.4378
139,-21.2355
140,-21.8239
141,-22.3735
142,-22.7799
143,-22.3019
144,-19.7927
145,-20.684
146,-22.028
147,-21.8533
148,-17.5032
149,-14.7938
150,-14.6718
151,-15.3424
152,-13.6055
153,-10.9267
154,-12.1723
155,-15.7566
156,-12.8226
157,-9.1193
158,-4.7348
159,-2.4085
160,-3.1274
161,-3.4749
162,-3.5359
163,-5.0579
164,-6.0857
165,-7.1429
166,-9.1506
167,-9.2664
168,-9.2664
169,-9.2664
170,-9.7948
171,-10.0386
172,-10.0386
173,-10.0386
174,-10.0386
175,-10.0386
176,-10.0386
177,-10.0386
178,-10.0386
179,-10.0386
180,-10.0386
181,-10.0386
182,-10.0386
183,-10.0386
184,-10.0386
185,-10.0386
186,-10.0386
187,-10.0386
188,-9.8964
189,-6.6602
190,-5.387
191,-7.2749
192,-8.1633
193,-6.5637
194,-7.0717
195,-10.7005
196,-11.583
197,-11.1785
198,-4.43
199,2.1511
200,4.8974
201,4.2471
202,2.6292
203,1.0161
204,-3.7691
205,-8.3784
206,-12.1236
207,-15.8301
208,-15.8301
209,-15.8301
210,-15.8301
211,-15.8301
212,-16.7852
213,-17.7606
214,-17.7606
215,-17.7606
216,-17.7606
217,-17.7606
218,-19.1396
219,-19.305
220,-19.305
221,-19.305
222,-19.305
223,-19.305
224,-19.305
225,-19.305
226,-20.0386
227,-20.2124
228,-20.0772
229,-20.0772
230,-18.9575
231,-20.7072
232,-22.3203
233,-22.7799
234,-22.7799
235,-22.7799
236,-22.7799
237,-22.7799
238,-22.7799
239,-22.7799
240,-22.7799
