Time of Rating,13-May-2016 16:05:18
Multimedia File,module2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,-2.0308
4,-2.5724
5,-2.6908
6,-4.0032
7,-5.1294
8,-5.4663
9,-5.4663
10,-5.4663
11,-5.4663
12,-5.4663
13,-5.4663
14,-6.0129
15,-6.1093
16,-6.1093
17,-6.1093
18,-6.1093
19,-5.9807
20,-5.7878
21,-5.7878
22,-5.7878
23,-5.5581
24,-4.2444
25,-2.6527
26,-2.1662
27,-1.9292
28,-1.2096
29,0.33847
30,0.64307
31,0.61092
32,-1.8006
33,-4.2926
34,-5.4663
35,-5.4663
36,-5.4663
37,-5.4663
38,-5.4663
39,-5.4663
40,-6.0481
41,-5.8216
42,-5.4663
43,-5.4663
44,-5.4663
45,-5.4663
46,-5.4663
47,-5.2366
48,-6.634
49,-6.4768
50,-6.7017
51,-6.0021
52,-5.9968
53,-6.7524
54,-6.7524
55,-6.7524
56,-6.7524
57,-6.7524
58,-6.7524
59,-6.6399
60,-5.7032
61,-4.5169
62,-3.4016
63,-1.6996
64,-0.48232
65,1.4791
66,3.2476
67,4.1462
68,4.18
69,4.18
70,4.18
71,4.18
72,4.18
73,4.18
74,4.18
75,4.18
76,4.18
77,4.8875
78,5.1447
79,4.637
80,4.18
81,4.18
82,1.9293
83,-0.27332
84,-2.7331
85,-3.2154
86,-3.2154
87,-3.2154
88,-3.2154
89,-3.2154
90,-3.2154
91,-3.2154
92,-3.2154
93,-2.6206
94,-1.0106
95,-0.96462
96,-0.96462
97,-1.9123
98,-0.81994
99,-0.32155
100,-0.32155
101,1.1331
102,2.1154
103,3.0776
104,3.537
105,3.736
106,3.8585
107,3.8585
108,3.8585
109,3.8585
110,3.8585
111,3.8585
112,4.0193
113,4.18
114,4.0785
115,3.6135
116,4.18
117,4.18
118,4.18
119,4.18
120,3.0776
121,2.3523
122,2.2508
123,2.437
124,3.2614
125,3.746
126,3.4862
127,0.32154
128,-2.1383
129,-2.2508
130,-2.2508
131,-2.2508
132,-2.2508
133,-2.2508
134,-2.6795
135,-3.2154
136,-3.2154
137,-3.2154
138,-3.1833
139,-2.926
140,-3.8585
141,-3.8585
142,-3.8585
143,-3.8585
144,-3.8585
145,-3.8585
146,-3.8585
147,-3.8585
148,-3.8585
149,-3.8585
150,-3.8585
151,-3.8585
152,-3.8585
153,-3.5982
154,-3.537
155,-3.4298
156,-3.0123
157,-0.21437
158,0.72346
159,1.6077
160,1.6077
161,2.0308
162,2.2508
163,2.2508
164,2.2967
165,2.8939
166,2.8939
167,2.8939
168,2.8939
169,2.8939
170,2.8939
171,2.8939
172,2.8939
173,2.8939
174,2.8939
175,2.8939
176,2.8939
177,2.8939
178,2.8939
179,2.8939
180,2.8939
181,2.8939
182,2.8939
183,2.8939
184,2.8939
185,2.8939
186,2.8939
187,2.8939
188,2.8939
189,2.8939
190,2.8939
191,2.8939
192,2.8939
193,2.8939
194,2.8939
195,1.2096
196,-3.0547
197,-6.0129
198,-6.1093
199,-5.8555
200,-1.9752
201,2.1662
202,4.1188
203,4.2477
204,4.4855
205,4.0882
206,2.7416
207,2.312
208,-0.94771
209,-1.4852
210,-3.1994
211,-3.8585
212,-3.6977
213,-3.8078
214,-4.5322
215,-4.8231
216,-4.8231
217,-4.8231
218,-5.2733
219,-6.4309
220,-6.4309
221,-7.2424
222,-7.3955
223,-7.3955
224,-7.3955
225,-7.5647
226,-8.3601
227,-8.3601
228,-8.5286
229,-9.3247
230,-9.3247
231,-9.3247
232,-9.3247
233,-9.3247
234,-9.3247
235,-9.3247
236,-9.3247
237,-9.3247
238,-9.3247
239,-9.3247
240,-9.3247
241,-9.3247
242,-9.3247
243,-9.3247
244,-9.3247
245,-9.3247
246,-9.3247
247,-9.3247
248,-9.3247
249,-9.3247
250,-9.3247
251,-9.3247
252,-9.3247
253,-9.3247
254,-9.3247
255,-8.8264
256,-4.7588
257,-2.8939
258,-2.8939
259,-2.8939
260,-2.8939
261,-2.8939
262,-2.8939
263,-2.8939
264,-2.8939
265,-2.8939
266,-2.8939
267,-3.8754
268,-4.5016
269,-4.857
270,-5.6347
271,-6.1093
272,-6.1093
273,-6.1093
274,-6.1093
275,-6.1093
276,-6.1093
277,-6.1093
278,-6.1093
279,-6.1093
280,-6.1093
281,-6.1093
282,-5.9868
283,-3.4727
284,1.5756
285,2.2508
286,2.4539
287,2.8939
288,2.8939
289,2.8939
290,2.8939
291,3.3508
292,4.2107
293,4.5016
294,4.5016
295,4.5016
296,4.2604
297,4.18
298,4.18
299,4.18
300,4.18
301,3.5063
302,0.69132
303,-0.41802
304,-0.73956
305,-2.2508
306,-4.2122
307,-6.6678
308,-7.4261
309,-7.937
310,-8.0386
311,-8.0386
312,-8.0386
313,-8.0386
314,-8.0386
315,-8.0386
316,-8.0386
317,-8.0386
318,-8.3142
319,-8.6817
320,-8.6817
321,-8.5632
322,-6.8902
323,-4.8071
324,-3.4354
325,-3.2154
326,-3.2154
327,-3.0776
328,-3.0631
329,-3.2154
330,-2.91
331,-2.2508
332,-2.5877
333,-3.8924
334,-5.2366
335,-5.7878
