Time of Rating,05-May-2016 18:13:18
Multimedia File,end_seg (1).m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,2.0503
2,4.8611
3,4.8611
4,7.5292
5,14.1146
6,19.5602
7,37.0431
8,45.6515
9,54.9132
10,55.243
11,52.934
12,60.0694
13,60.0694
14,58.5938
15,51.3558
16,48.9949
17,49.6528
18,56.2847
19,58.3333
20,57.0436
21,56.5972
22,45.6515
23,44.9306
24,53.2986
25,59.375
26,59.375
27,59.375
28,61.1111
29,71.8915
30,72.2222
31,72.2222
32,72.2222
33,72.2222
34,72.2222
35,72.2222
36,72.2222
37,72.2222
38,72.2222
39,72.2222
40,68.8962
41,76.1574
42,76.3889
43,71.1458
44,74.3056
45,74.3056
46,74.3056
47,74.3056
48,74.2725
49,75.0914
50,79.084
51,79.1667
52,79.1667
53,79.1667
54,79.1667
55,79.1667
56,78.1433
57,89.5503
58,100
59,100
60,100
61,100
62,100
63,90.8443
64,67.1354
65,52.166
66,45.6689
67,48.6111
68,48.6111
69,48.6111
70,53.3333
71,68.8715
72,75.0366
73,73.7847
74,73.3135
75,87.5
76,97.9332
77,100
78,100
79,100
80,100
81,100
82,100
83,100
84,100
85,96.2326
86,78.7202
87,69.9013
88,65.1786
89,70.2083
90,72.9167
91,70.3947
92,66.1979
93,68.3201
94,64.6747
95,61.1111
96,61.0197
97,52.9101
98,48.2639
99,49.6875
100,53.6632
101,49.9086
102,49.2725
103,54.9708
104,56.1839
105,66.5278
106,82.4013
107,85.7639
108,85.7639
109,85.7639
110,85.7639
111,85.7639
112,85.7639
113,85.7639
114,85.7639
115,85.7639
116,85.7639
117,85.7639
118,85.7639
119,85.7639
120,85.7639
121,85.7639
122,85.3984
123,82.8373
124,85.1562
125,91.3194
126,91.3194
127,91.3194
128,91.3194
129,91.3194
130,91.3194
131,91.3194
132,91.3194
133,91.3194
134,91.3194
135,91.3194
136,91.3194
137,91.3194
138,91.3194
139,91.3194
140,91.3194
141,91.3194
142,91.3194
143,91.3194
144,91.3194
145,90.377
146,88.6806
147,99.2882
148,93.2639
149,89.9826
150,89.9306
151,89.9306
152,89.9306
153,88.4868
154,63.7731
155,38.3955
156,59.1766
157,68.2292
158,64.492
159,58.5648
160,71.1988
161,75.6944
162,75.6944
163,75.6944
164,75.6944
165,75.6944
166,75.6944
167,75.6944
168,75.6944
169,75.6944
170,75.6448
171,62.6736
172,53.2529
173,53.125
174,53.0702
175,52.7778
176,52.7778
177,52.7778
178,52.7778
179,52.7778
180,52.7778
181,52.7778
182,52.7778
183,52.7778
184,52.7778
185,52.7778
186,52.7778
187,52.7778
188,52.7778
189,54.5139
190,63.633
191,64.2361
192,56.8287
193,46.674
194,37.1528
195,37.8472
196,38.1944
197,38.1944
198,28.368
199,23.6111
200,23.3735
201,21.1805
202,21.1805
203,21.1805
204,21.1805
205,19.0058
206,14.6329
207,11.1111
208,11.1111
209,15.3299
210,18.0555
211,18.0555
212,1.6082
213,-25.7606
214,-46.6557
215,-80.9855
216,-75.4386
217,-74.566
218,-99.256
219,-100
220,-100
221,-100
222,-100
223,-100
224,-100
225,-100
226,-100
227,-99.9504
228,-74.6711
229,-92.7414
230,-98.4722
231,-51.8275
232,-36.8882
233,-36.3121
234,-85.0198
235,-99.9306
236,-90.5903
237,-81.049
238,-99.184
239,-100
240,-100
