Time of Rating,26-Apr-2016 12:05:48
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,-1.9748
3,-5.7143
4,-10.3361
5,-12.8291
6,-17.6471
7,-18.7675
8,-18.8412
9,-18.4734
10,-18.5141
11,-19.0181
12,-19.6078
13,-19.6499
14,-19.888
15,-19.888
16,-19.888
17,-19.7946
18,-16.1286
19,-15.1261
20,-15.1261
21,-15.9531
22,-15.9664
23,-15.9664
24,-15.9664
25,-16.7035
26,-17.1135
27,-15.9664
28,-16.7267
29,-16.8067
30,-16.8067
31,-17.367
32,-19.254
33,-20.4615
34,-22.5122
35,-22.2489
36,-21.4846
37,-20.4482
38,-18.9409
39,-17.9272
40,-17.9272
41,-17.563
42,-17.479
43,-17.6471
44,-17.6471
45,-17.6471
46,-17.6471
47,-17.6471
48,-17.6471
49,-17.6471
50,-17.6471
51,-17.6471
52,-17.6471
53,-18.4579
54,-18.4874
55,-18.4874
56,-18.4874
57,-18.4874
58,-18.4874
59,-18.8515
60,-19.0476
61,-19.0476
62,-19.0476
63,-18.6415
64,-18.1139
65,-15.3177
66,-14.1657
67,-10.2904
68,-9.5238
69,-9.5238
70,-7.9021
71,-4.4951
72,-2.8011
73,-2.8011
74,3.6709
75,10.5375
76,13.4454
77,12.7672
78,12.0715
79,14.0351
80,15.7663
81,16.0254
82,13.9923
83,13.4454
84,13.4454
85,13.4454
86,13.4159
87,14.6992
88,16.9328
89,14.2017
90,14.0056
91,14.0056
92,14.0056
93,13.4601
94,13.5387
95,14.916
96,15.1261
97,15.1261
98,15.1261
99,16.3265
100,17.0868
101,17.0868
102,16.2465
103,15.2661
104,16.1131
105,17.9272
106,17.9272
107,17.9272
108,17.9272
109,17.4554
110,12.9412
111,8.4434
112,8.4033
113,8.1793
114,8.7867
115,8.9636
116,8.3233
117,4.7472
118,4.255
119,-0.81233
120,-3.9776
121,-4.5658
122,-5.042
123,-7.2129
124,-8.1822
125,-7.2963
126,-8.079
127,-7.9899
128,-5.8684
129,-5.8824
130,-2.3076
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
