Time of Rating,27-Apr-2016 10:41:44
Multimedia File,end_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,9.2788
2,46.6238
3,54.0652
4,55.2716
5,39.458
6,37.9421
7,37.9421
8,41.2379
9,43.7299
10,43.7299
11,42.0883
12,28.9695
13,16.2701
14,16.0772
15,16.1576
16,19.5803
17,19.9357
18,19.9357
19,19.9357
20,19.9357
21,19.9357
22,19.9357
23,19.7495
24,4.7007
25,-11.5595
26,-11.8971
27,-11.8971
28,-11.8971
29,-11.8971
30,-11.8971
31,-15.48
32,-26.9293
33,-38.0225
34,-39.6142
35,-40.1447
36,-40.836
37,-40.836
38,-40.836
39,-40.836
40,-40.836
41,-40.836
42,-40.836
43,-40.836
44,-40.836
45,-40.836
46,-46.9115
47,-51.7685
48,-51.7685
49,-51.7685
50,-51.7685
51,-51.7685
52,-51.7685
53,-51.7685
54,-51.7685
55,-51.7685
56,-51.7685
57,-51.7685
58,-51.7685
59,-51.7685
60,-51.7685
61,-51.7685
62,-51.7685
63,-51.7685
64,-51.7685
65,-51.7854
66,-53.7743
67,-58.6656
68,-58.8425
69,-58.8425
70,-58.8425
71,-60.787
72,-62.3794
73,-62.3794
74,-62.3794
75,-62.3794
76,-59.5008
77,-43.5438
78,-39.5498
79,-41.8489
80,-46.8489
81,-47.09
82,-48.3161
83,-54.1877
84,-55.9485
85,-55.9485
86,-55.9485
87,-57.09
88,-61.4607
89,-74.8858
90,-85.5306
91,-98.5209
92,-100
93,-100
94,-100
95,-100
96,-100
97,-100
98,-100
99,-100
100,-100
101,-100
102,-100
103,-100
104,-100
105,-100
106,-99.1479
107,-84.2138
108,-75.715
109,-78.4566
110,-78.1012
111,-79.6968
112,-79.7428
113,-79.7428
114,-79.7428
115,-79.7428
116,-79.7428
117,-79.7428
118,-80.3552
119,-80.7074
120,-89.5752
121,-93.2476
122,-93.0784
123,-83.4482
124,-53.8331
125,-45.6592
126,-40.5949
127,-37.299
128,-37.299
129,-37.299
130,-37.299
131,-37.299
132,-39.3891
133,-57.6409
134,-69.9678
135,-75.2105
136,-89.7783
137,-100
138,-100
139,-100
140,-100
141,-100
142,-100
143,-100
144,-100
145,-100
146,-100
147,-100
148,-100
149,-100
150,-100
151,-99.9678
152,-88.6334
153,-57.2026
154,-36.7042
155,-29.9374
156,-30.5466
157,-51.9716
158,-66.2379
159,-73.6673
160,-73.955
161,-73.955
162,-73.955
163,-73.955
164,-73.955
165,-73.955
166,-73.955
167,-73.955
168,-73.955
169,-73.955
170,-73.955
171,-73.955
172,-73.955
173,-73.955
174,-73.955
175,-73.955
176,-75.4104
177,-76.2058
178,-76.2058
179,-76.2058
180,-76.2058
181,-76.2058
182,-76.2058
183,-73.537
184,-72.3473
185,-72.3473
186,-72.3473
187,-72.3473
188,-65.4502
189,-33.6656
190,-21.865
191,-21.8167
192,-17.7695
193,-11.6399
194,-11.2081
195,-9.054
196,4.8385
197,5.4663
198,5.4663
199,5.4663
200,5.4663
201,16.0465
202,33.4236
203,33.4405
204,33.4405
205,33.4405
206,34.8185
207,37.6206
208,37.6206
209,37.6206
210,37.6206
211,37.6206
212,37.6206
213,37.6206
214,37.6206
215,37.6206
216,30.3266
217,17.4246
218,15.7556
219,15.7556
220,15.7556
221,15.7556
222,15.7556
223,21.8142
224,34.7573
225,27.2186
226,33.135
227,36.6559
228,29.7512
229,16.8121
230,16.0772
231,16.0772
232,16.0772
233,16.0772
234,16.0772
235,16.0772
236,16.0772
237,16.0772
238,16.0772
239,16.0772
240,16.0772
