Time of Rating,28-Apr-2016 11:54:09
Multimedia File,end_seg.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,-0.32155
2,-0.32155
3,-2.0671
4,-5.297
5,-9.0951
6,-18.8357
7,-26.6269
8,-31.9682
9,-34.791
10,-33.9611
11,-32.4759
12,-31.2203
13,-30.5466
14,-28.9728
15,-28.2958
16,-25.8521
17,-20.8238
18,-17.8541
19,-12.1115
20,-10.611
21,-11.9293
22,-17.5471
23,-21.3573
24,-23.4114
25,-23.9973
26,-27.0709
27,-27.3312
28,-27.3312
29,-27.3312
30,-25.1481
31,-21.8956
32,-18.8188
33,-17.4705
34,-17.3633
35,-17.3633
36,-17.3633
37,-17.3633
38,-17.3633
39,-16.6864
40,-14.5766
41,-11.3505
42,-10.7463
43,-14.546
44,-18.8188
45,-18.9711
46,-18.768
47,-18.6495
48,-20.6706
49,-29.1081
50,-34.7726
51,-37.976
52,-39.213
53,-38.5852
54,-36.9775
55,-36.9775
56,-37.0541
57,-37.7729
58,-40.0858
59,-41.1576
60,-43.0191
61,-45.4823
62,-47.5884
63,-47.5884
64,-47.5884
65,-47.4659
66,-47.2669
67,-47.2669
68,-45.506
69,-44.373
70,-44.373
71,-44.373
72,-44.373
73,-41.5129
74,-41.1576
75,-40.8513
76,-37.9421
77,-37.9421
78,-34.1344
79,-28.2637
80,-19.791
81,-11.672
82,-4.6394
83,1.6416
84,5.7418
85,10.374
86,13.6656
87,13.8264
88,13.8264
89,13.8264
90,14.571
91,15.9853
92,20.9003
93,24.5498
94,27.4231
95,30.7836
96,33.2261
97,34.2867
98,35.3698
99,35.7556
100,36.0128
101,36.0128
102,36.0128
103,36.0128
104,36.0128
105,36.0128
106,36.0128
107,36.0128
108,36.0128
109,36.0128
110,36.0128
111,36.0128
112,36.0128
113,33.8467
114,30.3215
115,28.3418
116,27.6527
117,27.913
118,30.8174
119,34.6624
120,40.7717
121,44.4051
122,49.9617
123,54.6793
124,57.7094
125,60.9409
126,61.4148
127,61.4148
128,61.4148
129,61.4148
130,61.4148
131,61.8435
132,64.4373
133,64.6302
134,64.6302
135,64.6302
136,64.6302
137,64.6302
138,64.6302
139,64.6302
140,64.6302
141,64.6302
142,64.6302
143,64.6302
144,64.6302
145,64.6302
146,64.6302
147,64.6302
148,64.6302
149,64.6302
150,64.324
151,63.5979
152,57.7331
153,48.9205
154,43.3407
155,39.6264
156,36.2329
157,32.7209
158,34.0328
159,40.4662
160,44.164
161,47.4759
162,49.288
163,49.5177
164,49.5636
165,52.4759
166,54.9839
167,54.9839
168,54.9839
169,54.9839
170,54.9839
171,54.9839
172,54.9839
173,54.9839
174,53.4528
175,46.1415
176,40.9486
177,38.5852
178,39.0514
179,44.9839
180,48.0386
181,48.8746
182,48.8746
183,44.6486
184,38.2806
185,29.0032
186,22.0257
187,19.2314
188,16.1415
189,13.7587
190,8.9726
191,5.1616
192,4.5016
193,5.1294
194,5.7878
195,2.6489
196,-3.9601
197,-8.3263
198,-11.1897
199,-14.9901
200,-16.7203
201,-13.9795
202,-9.9678
203,-3.9504
204,0.65916
205,4.0954
206,6.9775
207,8.1833
208,11.7746
209,13.6233
210,16.215
211,11.1736
212,-4.8232
213,-12.701
214,-15.6592
215,-21.2831
216,-23.4727
217,-25.3101
218,-26.5866
219,-27.8135
220,-29.0308
221,-30.2251
222,-31.0825
223,-33.6817
224,-34.9839
225,-31.5451
226,-28.5852
227,-27.959
228,-24.3358
229,-19.4151
230,-17.228
231,-14.164
232,-12.8618
233,-12.8618
234,-13.1986
235,-22.6434
236,-34.0377
237,-44.5253
238,-50.9486
239,-56.6988
240,-63.6656
