Time of Rating,05-May-2016 11:34:45
Multimedia File,module1.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,13.1833
2,13.1833
3,13.1833
4,13.1833
5,13.1833
6,13.1833
7,13.1833
8,13.1833
9,13.1833
10,13.1833
11,13.1833
12,13.1833
13,13.1833
14,13.1833
15,13.1833
16,13.1833
17,13.1833
18,13.1833
19,13.1833
20,13.1833
21,13.1833
22,13.1833
23,13.1833
24,13.1833
25,13.1494
26,14.2704
27,13.5048
28,13.5048
29,13.5048
30,13.5048
31,13.5048
32,13.5048
33,13.5048
34,14.0125
35,14.1479
36,14.1479
37,14.1479
38,14.1479
39,14.1479
40,14.1479
41,13.7587
42,13.5048
43,13.5048
44,13.5048
45,13.5048
46,13.5048
47,13.5048
48,12.9903
49,12.8617
50,12.8617
51,12.8617
52,12.8617
53,12.8617
54,12.8617
55,12.8617
56,12.5233
57,12.479
58,12.5402
59,12.5402
60,12.5402
61,12.5402
62,12.5402
63,12.5402
64,12.5402
65,12.5402
66,12.5402
67,12.5402
68,12.5402
69,12.5402
70,12.5402
71,12.5402
72,12.5402
73,12.5402
74,12.5402
75,12.5402
76,12.5884
77,14.4212
78,14.3316
79,14.9941
80,14.1479
81,14.1479
82,14.1479
83,14.1479
84,14.1479
85,14.1479
86,14.1479
87,14.1479
88,14.1479
89,14.1479
90,14.1479
91,14.1479
92,16.0006
93,18.9203
94,19.3079
95,19.6141
96,19.3087
97,18.7873
98,18.0741
99,20.5022
100,20.0541
101,18.4658
102,18.328
103,18.328
104,18.328
105,18.328
106,18.2514
107,16.991
108,16.0289
109,15.4341
110,15.6202
111,17.2255
112,17.3633
113,17.3633
114,17.3633
115,17.3633
116,17.3633
117,17.3633
118,17.3633
119,17.3633
120,17.3633
121,17.3633
122,17.3633
123,17.3633
124,17.3633
125,17.3633
126,17.3633
127,17.3633
128,17.3633
129,17.3633
130,18.3892
131,17.9218
132,16.7202
133,16.7202
134,16.7202
135,16.7202
136,16.7202
137,16.7202
138,16.7202
139,16.7202
140,16.7202
141,16.7202
142,16.7202
143,16.8328
144,15.3575
145,14.791
146,14.791
147,14.791
148,15.0482
149,15.4341
150,14.2156
151,13.8264
152,13.7079
153,12.3871
154,12.2186
155,12.2186
156,12.2186
157,12.2186
158,12.2186
159,12.2186
160,12.2186
161,12.2186
162,12.2186
163,12.2186
164,12.5402
165,14.1479
166,14.1479
167,14.2122
168,14.4694
169,14.4694
170,14.4694
171,14.4694
172,14.4694
173,14.4694
174,14.8875
175,15.9756
176,16.3987
177,16.3987
178,16.3987
179,16.3987
180,16.3987
181,17.008
182,17.3151
183,17.0418
184,17.0418
185,17.0418
186,17.0418
187,17.0418
188,17.0257
189,16.4753
190,16.7541
191,17.0418
192,17.0418
193,17.0418
194,17.0418
195,17.0418
196,17.0418
197,17.0418
198,17.0418
199,17.0418
200,17.0418
201,17.0418
202,17.0418
203,17.0418
204,17.0418
205,17.0418
206,17.0418
207,17.2669
208,18.328
209,18.328
210,18.328
211,18.328
212,18.328
213,18.328
214,18.328
215,18.328
216,18.328
217,18.328
218,18.328
219,18.328
220,18.328
221,18.328
222,17.7813
223,17.1383
224,16.8581
225,17.0418
226,17.0418
227,17.0418
228,17.0418
229,17.0418
230,17.0418
231,17.2868
232,17.3126
233,17.0418
234,17.0418
235,17.0096
236,17.0877
237,18.091
238,17.0571
239,17.0418
240,17.0418
241,17.0418
242,17.0418
243,17.0418
244,17.1264
245,17.3633
246,16.8556
247,16.9453
248,18.8792
249,22.4598
250,21.7363
251,22.6773
252,23.1358
253,21.4757
254,18.135
255,17.6849
256,17.6849
257,17.6849
258,17.651
259,17.0418
260,17.0418
261,17.0418
262,17.0418
263,17.0418
264,17.0418
265,17.7187
266,16.7356
267,16.3987
268,16.3987
269,15.725
270,14.791
271,14.791
272,14.791
273,17.7974
274,19.8744
275,18.6157
276,19.2926
277,19.2926
278,17.7002
279,17.3633
280,17.3633
281,17.3633
282,17.4116
283,18.328
284,18.328
285,18.328
286,18.328
287,18.328
288,18.328
289,18.328
290,18.328
291,18.328
292,18.328
293,18.328
294,18.328
295,18.328
296,18.328
297,18.328
298,18.328
299,18.328
300,18.328
301,18.328
302,18.328
303,17.8541
304,17.3633
305,17.3633
306,17.4759
307,20.3537
308,21.4148
309,19.951
310,16.3987
311,16.0772
312,16.0772
313,16.3666
314,19.5835
315,21.7973
316,24.8354
317,25.5712
318,32.0012
319,33.8128
320,33.4405
321,33.4405
322,33.4405
323,33.4405
324,34.4898
325,35.3698
326,31.8006
327,29.9374
328,24.4051
329,20.9003
330,17.8533
331,16.7202
332,16.7202
333,16.7202
334,16.7202
335,16.7202
336,16.7202
337,16.7202
338,16.7202
339,16.7202
340,16.7202
341,16.7202
342,16.7202
343,16.7202
344,16.7202
345,16.8649
346,17.651
347,17.0418
348,17.0418
349,17.0418
350,17.0418
351,17.0418
352,17.5664
353,20.0161
354,24.7129
355,25.7235
356,25.6775
357,25.0635
358,23.8555
359,22.4742
360,21.2058
361,20.6553
362,19.5464
363,19.2926
364,18.548
365,16.463
366,16.3987
367,16.3987
368,16.3987
369,16.3987
370,16.3987
371,16.3987
372,16.3987
373,16.3987
374,16.3987
375,16.3987
376,16.3987
377,16.3987
378,16.3987
379,16.3987
380,16.3987
381,16.3987
382,16.3987
383,16.3987
384,16.3987
385,16.3987
386,16.3987
387,16.9936
388,17.508
389,17.1796
390,17.5495
391,17.3633
392,17.3633
393,17.3633
394,17.5241
395,17.6849
396,17.6849
397,17.6849
398,17.6849
399,19.7157
400,20.9003
401,19.9816
402,18.6157
403,18.0524
404,18.0064
405,18.0064
406,18.0064
407,17.9421
408,16.414
409,16.3987
410,16.3987
411,16.3987
412,16.3987
413,16.3987
414,16.3987
415,16.0772
416,17.7357
