Time of Rating,26-Apr-2016 10:51:36
Multimedia File,all_vocal_2.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,0
2,0
3,0
4,0.093367
5,-2.465
6,-4.2017
7,-7.0728
8,-9.5238
9,-9.5238
10,-7.8712
11,-12.0868
12,-16.8067
13,-22.0448
14,-22.9692
15,-22.9692
16,-21.0618
17,-18.4874
18,-18.1933
19,-18.2913
20,-18.7675
21,-18.7675
22,-18.7675
23,-18.3807
24,-17.6618
25,-14.7259
26,-14.5798
27,-15.4062
28,-16.1931
29,-16.2465
30,-16.2745
31,-17.3964
32,-18.9276
33,-18.7255
34,-18.2073
35,-18.2073
36,-18.2073
37,-18.2073
38,-19.944
39,-21.2618
40,-20.1681
41,-19.7995
