Time of Rating,25-Apr-2016 12:59:06
Multimedia File,video.m4v
Lower Label,negative
Upper Label,positive
Minimum Value,-100
Maximum Value,100
Number of Steps,9
Second,Rating
%%%%%%,%%%%%%
1,36.4875
2,37.299
3,37.4828
4,37.6206
5,37.6206
6,37.6206
7,37.1467
8,36.9775
9,36.9775
10,36.6713
11,37.7331
12,38.1994
13,37.3473
14,37.9083
15,38.2637
16,37.1806
17,39.3049
18,40.5145
19,40.5145
20,40.5145
21,39.956
22,38.7536
23,36.1736
24,35.6913
25,34.3882
26,33.7621
27,33.7621
28,33.762
29,33.7621
30,33.7621
31,34.2765
32,34.4052
33,34.4051
34,35.9975
35,35.0482
36,36.0435
37,37.9421
38,37.9421
39,37.9421
40,37.9421
41,37.9421
42,37.9421
43,37.9421
44,37.9421
45,38.2476
46,38.2637
47,37.519
48,38.3708
49,40.2606
50,40.5145
51,39.9221
52,40.7717
53,41.1576
54,41.1576
55,41.1576
56,40.627
57,39.6624
58,40.9807
59,41.1576
60,41.1576
61,40.2098
62,38.3555
63,39.2283
64,39.2283
65,39.2283
66,39.2283
67,39.2283
68,39.2283
69,39.2283
70,39.6141
71,40.1929
72,39.8714
73,39.2283
74,39.3661
75,40.836
76,40.836
77,40.1768
78,39.9035
79,40.1929
80,40.3622
81,40.5145
82,40.5145
83,40.5145
84,40.5652
85,40.836
86,40.836
87,40.836
88,40.836
89,40.836
90,40.836
91,40.836
92,40.836
93,41.4638
94,41.4791
95,41.4791
96,41.4791
97,41.4791
98,41.4791
99,41.7363
100,42.1222
101,42.1222
102,42.1681
103,42.9514
104,44.1433
105,44.373
106,43.3576
107,41.8619
108,43.5099
109,44.0974
110,44.373
111,44.373
112,43.8524
113,43.0868
114,43.0868
115,43.0868
116,43.0868
117,43.0546
118,41.1415
119,41.9293
120,43.4084
121,43.9902
122,44.6945
123,45.751
124,46.8167
125,46.1838
126,46.7463
127,46.6238
128,47.5884
129,47.5563
130,46.3344
131,45.6592
132,45.2572
133,44.6639
134,45.0161
135,43.7911
136,41.2379
137,40.8039
138,42.6045
139,41.4791
140,41.1576
141,41.1576
142,41.3872
143,43.0868
144,43.0868
145,43.0868
146,43.0868
147,43.0562
148,43.4887
149,44.0514
150,44.0514
151,43.0225
152,42.7653
153,42.7653
154,43.2859
155,43.7299
156,43.7299
157,43.9228
158,44.9822
159,46.8381
160,46.9453
161,46.3482
162,44.0514
163,45.1079
164,45.7556
165,46.3022
166,46.1951
167,44.7622
168,43.5768
169,43.1206
170,46.3788
171,48.5209
172,48.5023
173,46.5013
174,46.2515
175,46.9913
176,46.1093
177,45.3537
178,44.6945
179,44.0514
180,44.0514
181,44.0514
182,44.3408
183,44.373
184,44.373
